tournament_id,tournament_name,start_time,processed_at,Pseudo,Position,GainsCash,Bounty,Reentry,buyin_total
0852ac188e4ee3e5768305ba1e0fab596d7846e8,"CoronaMax VII - Filetonfric 06 du 05-
10-2025 21:15 en argent réel
Argent réel Inscription avec ticket possible Tournoi régulier",2025-10-05 21:15:00,2025-10-26 20:47:17.353191,Nolimythe,2,24.3,0.0,0,10.0
0852ac188e4ee3e5768305ba1e0fab596d7846e8,"CoronaMax VII - Filetonfric 06 du 05-
10-2025 21:15 en argent réel
Argent réel Inscription avec ticket possible Tournoi régulier",2025-10-05 21:15:00,2025-10-26 20:47:17.353191,philou4675,3,16.2,0.0,0,10.0
0852ac188e4ee3e5768305ba1e0fab596d7846e8,"CoronaMax VII - Filetonfric 06 du 05-
10-2025 21:15 en argent réel
Argent réel Inscription avec ticket possible Tournoi régulier",2025-10-05 21:15:00,2025-10-26 20:47:17.353191,odrAAdeKK,4,0.0,0.0,0,10.0
0852ac188e4ee3e5768305ba1e0fab596d7846e8,"CoronaMax VII - Filetonfric 06 du 05-
10-2025 21:15 en argent réel
Argent réel Inscription avec ticket possible Tournoi régulier",2025-10-05 21:15:00,2025-10-26 20:47:17.353191,Krazy Kat,5,0.0,0.0,1,10.0
0852ac188e4ee3e5768305ba1e0fab596d7846e8,"CoronaMax VII - Filetonfric 06 du 05-
10-2025 21:15 en argent réel
Argent réel Inscription avec ticket possible Tournoi régulier",2025-10-05 21:15:00,2025-10-26 20:47:17.353191,Bisat,6,0.0,0.0,1,10.0
0852ac188e4ee3e5768305ba1e0fab596d7846e8,"CoronaMax VII - Filetonfric 06 du 05-
10-2025 21:15 en argent réel
Argent réel Inscription avec ticket possible Tournoi régulier",2025-10-05 21:15:00,2025-10-26 20:47:17.353191,shark feeder,7,0.0,0.0,0,10.0
644411392799b6353d654dd9710a5d36bd22f00c,"CoronaMax VII - Filetonfric 07 du 12-
10-2025 21:15 en argent réel",2025-10-12 21:15:00,2025-10-26 20:47:17.362392,Bisat,1,29.25,0.0,0,10.0
644411392799b6353d654dd9710a5d36bd22f00c,"CoronaMax VII - Filetonfric 07 du 12-
10-2025 21:15 en argent réel",2025-10-12 21:15:00,2025-10-26 20:47:17.362392,odrAAdeKK,2,15.75,0.0,0,10.0
644411392799b6353d654dd9710a5d36bd22f00c,"CoronaMax VII - Filetonfric 07 du 12-
10-2025 21:15 en argent réel",2025-10-12 21:15:00,2025-10-26 20:47:17.362392,Nolimythe,3,0.0,0.0,0,10.0
644411392799b6353d654dd9710a5d36bd22f00c,"CoronaMax VII - Filetonfric 07 du 12-
10-2025 21:15 en argent réel",2025-10-12 21:15:00,2025-10-26 20:47:17.362392,shark feeder,4,0.0,0.0,0,10.0
644411392799b6353d654dd9710a5d36bd22f00c,"CoronaMax VII - Filetonfric 07 du 12-
10-2025 21:15 en argent réel",2025-10-12 21:15:00,2025-10-26 20:47:17.362392,Maitre Mat,5,0.0,0.0,0,10.0
ba19c2f53345695e341171c275e0c532b1f0ff2e,Coronamax 09,2025-10-21 21:15:00,2025-10-26 20:53:57.207396,Krazy Kat,1,15.75,24.75,1,10.0
ba19c2f53345695e341171c275e0c532b1f0ff2e,Coronamax 09,2025-10-21 21:15:00,2025-10-26 20:53:57.207396,Nolimythe,2,15.75,2.25,0,10.0
ba19c2f53345695e341171c275e0c532b1f0ff2e,Coronamax 09,2025-10-21 21:15:00,2025-10-26 20:53:57.207396,123CYRILLE,3,0.0,4.5,0,10.0
ba19c2f53345695e341171c275e0c532b1f0ff2e,Coronamax 09,2025-10-21 21:15:00,2025-10-26 20:53:57.207396,Maitre Mat,4,0.0,0.0,0,10.0
ba19c2f53345695e341171c275e0c532b1f0ff2e,Coronamax 09,2025-10-21 21:15:00,2025-10-26 20:53:57.207396,odrAAdeKK,5,0.0,0.0,0,10.0
ba19c2f53345695e341171c275e0c532b1f0ff2e,Coronamax 09,2025-10-21 21:15:00,2025-10-26 20:53:57.207396,Bisat,6,0.0,0.0,0,10.0
c4780a6a1d5fc5a90ce6b652a1cddbbd4e0c522d,"CoronaMax VII - Filetonfric 10 du 26-10-
2025 21:15 en argent réel
CoronaMax VII - Filetonfric 10
Argent réel Inscription avec ticket possible Tournoi régulier",2025-10-26 21:15:00,2025-10-27 01:07:31.518219,123CYRILLE,1,46.8,0.0,1,10.0
c4780a6a1d5fc5a90ce6b652a1cddbbd4e0c522d,"CoronaMax VII - Filetonfric 10 du 26-10-
2025 21:15 en argent réel
CoronaMax VII - Filetonfric 10
Argent réel Inscription avec ticket possible Tournoi régulier",2025-10-26 21:15:00,2025-10-27 01:07:31.518219,Krazy Kat,2,25.2,0.0,0,10.0
c4780a6a1d5fc5a90ce6b652a1cddbbd4e0c522d,"CoronaMax VII - Filetonfric 10 du 26-10-
2025 21:15 en argent réel
CoronaMax VII - Filetonfric 10
Argent réel Inscription avec ticket possible Tournoi régulier",2025-10-26 21:15:00,2025-10-27 01:07:31.518219,odrAAdeKK,3,0.0,0.0,1,10.0
c4780a6a1d5fc5a90ce6b652a1cddbbd4e0c522d,"CoronaMax VII - Filetonfric 10 du 26-10-
2025 21:15 en argent réel
CoronaMax VII - Filetonfric 10
Argent réel Inscription avec ticket possible Tournoi régulier",2025-10-26 21:15:00,2025-10-27 01:07:31.518219,Nolimythe,4,0.0,0.0,0,10.0
c4780a6a1d5fc5a90ce6b652a1cddbbd4e0c522d,"CoronaMax VII - Filetonfric 10 du 26-10-
2025 21:15 en argent réel
CoronaMax VII - Filetonfric 10
Argent réel Inscription avec ticket possible Tournoi régulier",2025-10-26 21:15:00,2025-10-27 01:07:31.518219,Luckystefy,5,0.0,0.0,0,10.0
c4780a6a1d5fc5a90ce6b652a1cddbbd4e0c522d,"CoronaMax VII - Filetonfric 10 du 26-10-
2025 21:15 en argent réel
CoronaMax VII - Filetonfric 10
Argent réel Inscription avec ticket possible Tournoi régulier",2025-10-26 21:15:00,2025-10-27 01:07:31.518219,Bisat,6,0.0,0.0,0,10.0
ac8c278d6681872e522c1a07d53c6cfe5bac7228,"CoronaMax VII - Filetonfric 1 1 du 30-10-
2025 21:15 en argent réel
CoronaMax VII - Filetonfric 11",2025-10-30 21:15:00,2025-11-02 19:49:28.142622,Nolimythe,1,35.1,0.0,1,10.0
ac8c278d6681872e522c1a07d53c6cfe5bac7228,"CoronaMax VII - Filetonfric 1 1 du 30-10-
2025 21:15 en argent réel
CoronaMax VII - Filetonfric 11",2025-10-30 21:15:00,2025-11-02 19:49:28.142622,odrAAdeKK,2,18.9,0.0,0,10.0
ac8c278d6681872e522c1a07d53c6cfe5bac7228,"CoronaMax VII - Filetonfric 1 1 du 30-10-
2025 21:15 en argent réel
CoronaMax VII - Filetonfric 11",2025-10-30 21:15:00,2025-11-02 19:49:28.142622,Krazy Kat,3,0.0,0.0,0,10.0
ac8c278d6681872e522c1a07d53c6cfe5bac7228,"CoronaMax VII - Filetonfric 1 1 du 30-10-
2025 21:15 en argent réel
CoronaMax VII - Filetonfric 11",2025-10-30 21:15:00,2025-11-02 19:49:28.142622,Maitre Mat,4,0.0,0.0,0,10.0
ac8c278d6681872e522c1a07d53c6cfe5bac7228,"CoronaMax VII - Filetonfric 1 1 du 30-10-
2025 21:15 en argent réel
CoronaMax VII - Filetonfric 11",2025-10-30 21:15:00,2025-11-02 19:49:28.142622,123CYRILLE,5,0.0,0.0,0,10.0
45d5837c9a8bafb368cd99882e69685cbc49a37c,"CoronaMax VII - Filetonfric 12 du 02-1 1-
2025 21:15 en argent réel
CoronaMax VII - Filetonfric 12",2025-11-02 21:15:00,2025-11-03 01:37:09.505132,123CYRILLE,1,46.8,0.0,0,10.0
45d5837c9a8bafb368cd99882e69685cbc49a37c,"CoronaMax VII - Filetonfric 12 du 02-1 1-
2025 21:15 en argent réel
CoronaMax VII - Filetonfric 12",2025-11-02 21:15:00,2025-11-03 01:37:09.505132,Bisat,2,25.2,0.0,0,10.0
45d5837c9a8bafb368cd99882e69685cbc49a37c,"CoronaMax VII - Filetonfric 12 du 02-1 1-
2025 21:15 en argent réel
CoronaMax VII - Filetonfric 12",2025-11-02 21:15:00,2025-11-03 01:37:09.505132,Krazy Kat,3,0.0,0.0,1,10.0
45d5837c9a8bafb368cd99882e69685cbc49a37c,"CoronaMax VII - Filetonfric 12 du 02-1 1-
2025 21:15 en argent réel
CoronaMax VII - Filetonfric 12",2025-11-02 21:15:00,2025-11-03 01:37:09.505132,Maitre Mat,4,0.0,0.0,0,10.0
45d5837c9a8bafb368cd99882e69685cbc49a37c,"CoronaMax VII - Filetonfric 12 du 02-1 1-
2025 21:15 en argent réel
CoronaMax VII - Filetonfric 12",2025-11-02 21:15:00,2025-11-03 01:37:09.505132,philou4675,5,0.0,0.0,0,10.0
45d5837c9a8bafb368cd99882e69685cbc49a37c,"CoronaMax VII - Filetonfric 12 du 02-1 1-
2025 21:15 en argent réel
CoronaMax VII - Filetonfric 12",2025-11-02 21:15:00,2025-11-03 01:37:09.505132,odrAAdeKK,6,0.0,0.0,0,10.0
45d5837c9a8bafb368cd99882e69685cbc49a37c,"CoronaMax VII - Filetonfric 12 du 02-1 1-
2025 21:15 en argent réel
CoronaMax VII - Filetonfric 12",2025-11-02 21:15:00,2025-11-03 01:37:09.505132,Nolimythe,7,0.0,0.0,0,10.0
